time,amount,compares,swaps
0.003457,1000,667,5687
0.006909,2000,1356,12700
0.010391,3000,2031,20147
0.014421,4000,2732,28133
0.018168,5000,3412,36191
0.021895,6000,4127,44555
0.026336,7000,4827,52767
0.029876,8000,5522,61248
0.033927,9000,6224,69783
0.036801,10000,6931,78480
0.041551,11000,7649,87386
0.045831,12000,8403,96119
0.051141,13000,9129,104909
0.053854,14000,9884,113981
0.057786,15000,10657,123036
0.062406,16000,11396,132150
0.065881,17000,12112,141302
0.070633,18000,12837,150475
0.072170,19000,13588,159852
0.076317,20000,14335,169088
0.081856,21000,15052,178609
0.086335,22000,15811,187995
0.089253,23000,16590,197245
0.095692,24000,17317,206806
0.098916,25000,18064,216285
0.102890,26000,18821,225736
0.116597,27000,19571,235155
0.112472,28000,20327,244632
0.113625,29000,21076,254284
0.117409,30000,21830,263637
0.123308,31000,22570,273157
0.125875,32000,23329,282669
0.129800,33000,24109,292331
0.132363,34000,24899,301964
0.138777,35000,25698,311631
0.142570,36000,26472,321480
0.149932,37000,27244,331217
0.156777,38000,28060,340966
0.159136,39000,28858,350782
0.163470,40000,29650,360629
0.169829,41000,30449,370308
0.173624,42000,31230,380126
0.173884,43000,31992,390008
0.176899,44000,32806,399779
0.178905,45000,33577,409540
0.186332,46000,34356,419252
0.193009,47000,35121,429227
0.197732,48000,35914,439234
0.210482,49000,36715,449167
0.211232,50000,37510,459083
0.215850,51000,38321,469013
0.220991,52000,39148,478906
0.212778,53000,39944,488928
0.215291,54000,40762,498877
0.229410,55000,41563,508772
0.222635,56000,42374,518653
0.235453,57000,43185,528658
0.237086,58000,43989,538613
0.233234,59000,44787,548626
0.241280,60000,45598,558633
0.260534,61000,46396,568643
0.261831,62000,47183,578811
0.266153,63000,47994,588824
0.268693,64000,48825,598837
0.273033,65000,49692,608895
0.275221,66000,50481,618795
0.275159,67000,51260,628982
0.280431,68000,52084,638968
0.283058,69000,52872,648958
0.291471,70000,53690,659008
0.281879,71000,54524,669156
0.294649,72000,55378,679218
0.292579,73000,56200,689332
0.296907,74000,57032,699342
0.300022,75000,57850,709517
0.308996,76000,58704,719623
0.321618,77000,59513,729691
0.327543,78000,60339,739726
0.318873,79000,61175,749957
0.321429,80000,62033,760014
0.323348,81000,62885,770156
0.331484,82000,63735,780175
0.338372,83000,64573,790340
0.339338,84000,65417,800523
0.342062,85000,66266,810794
0.347104,86000,67119,821000
0.358649,87000,67953,831121
0.354876,88000,68772,841362
0.355957,89000,69581,851522
0.364617,90000,70430,861865
0.368004,91000,71282,872099
0.371349,92000,72124,882242
0.374758,93000,72975,892330
0.378369,94000,73815,902605
0.386956,95000,74669,912680
0.386487,96000,75532,922818
0.391394,97000,76372,933071
0.394878,98000,77233,943452
0.399419,99000,78087,953485
0.408746,100000,78933,963774
