amount,time,compairs,swaps
1000,0,50349,6064
2000,0,143771,12940
3000,0,178066,20414
4000,0,284661,27654
5000,0,333088,35792
6000,0,448916,43278
7000,0,482116,51590
8000,0,607237,59110
9000,0,676998,67044
10000,0,706476,76404
11000,1,875700,83514
12000,1,953382,92722
13000,1,1003413,100880
14000,1,1114904,109168
15000,1,1220819,117278
16000,1,1192751,127176
17000,1,1373587,134586
18000,1,1331841,144222
19000,2,1467208,152600
20000,2,1603038,161224
21000,2,1808444,167992
22000,2,1760399,178410
23000,2,1964237,186620
24000,2,2078346,195642
25000,3,2098882,205154
26000,2,2378649,210888
27000,3,2197543,223016
28000,2,2414128,230152
29000,3,2537420,239906
30000,3,3081127,244296
31000,3,2580065,259206
32000,3,2887405,266302
33000,3,2818989,276346
34000,4,3091898,283698
35000,5,2974898,295456
36000,4,3320385,301532
37000,5,3304448,312480
38000,4,3491585,320266
39000,4,3562204,328554
40000,4,3442398,341094
41000,4,3660559,349928
42000,5,3849525,358320
43000,5,3680144,368734
44000,5,4400097,371660
45000,5,4005157,385536
46000,5,4072504,397130
47000,5,4050926,405292
48000,6,4405766,412540
49000,5,4445472,423182
50000,5,4502686,430122
51000,6,4518451,441998
52000,6,5180321,447662
53000,6,4642471,460286
54000,6,4610129,472300
55000,6,5369876,474714
56000,6,4815737,492252
57000,7,5353082,495240
58000,7,5211512,507272
59000,7,5516905,517416
60000,7,5744767,525958
61000,9,5855558,536116
62000,9,6021558,544434
63000,8,5816251,555974
64000,7,6301724,561592
65000,10,6017154,573086
66000,8,6156603,582134
67000,8,6277339,594704
68000,10,6140724,605184
69000,8,6233772,613142
70000,9,6446065,621150
71000,8,6639385,628070
72000,10,6867139,636582
73000,10,6851592,649356
74000,10,7122200,654586
75000,10,7269116,665730
76000,10,6951208,681130
77000,10,6926301,692484
78000,10,7085840,699868
79000,10,8101861,702226
80000,10,7679184,714340
81000,12,7267086,729898
82000,11,8130437,733358
83000,11,7933546,746278
84000,12,7976525,756250
85000,11,8089566,767306
86000,12,8455545,770258
87000,11,7581488,791494
88000,11,8517985,795068
89000,12,8564656,801896
90000,12,8998360,807192
91000,12,8726100,824516
92000,12,8961879,829998
93000,13,9154503,841706
94000,12,9610199,852642
95000,13,9339989,860100
96000,13,10479692,868318
97000,13,9630669,875400
98000,13,9419749,893536
99000,14,10019105,898064
100000,14,10972710,901906
